ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,bill_ap,bill_m,bill_ju,bill_jy,bill_ag,bill_s,pmt_ap,pmt_m,pmt_ju,pmt_jy,pmt_ag,pmt_s,pay_ap,pay_m,pay_ju,pay_jy,pay_ag,pay_s,DEFAULT
8506,female,university,1,32,80000,75816,75892,74266,72651,71452,73181,2800,2700,2800,2800,3000,0,0,0,0,0,2,1,not default
8507,female,high school,1,52,150000,0,2847,2064,1203,905,170,0,0,2847,2064,1203,1125,-1,-1,-1,-1,-1,-1,not default
8508,female,university,2,53,20000,19812,18679,19118,18547,17826,18396,0,1600,0,1170,1300,0,2,2,3,3,4,4,not default
8509,male,university,2,24,50000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
8510,female,graduate school,2,31,170000,1880,0,0,0,843,0,456,1880,0,0,0,843,-1,-2,-2,-1,-1,1,not default
8511,female,university,2,33,130000,46071,51614,57467,63951,70067,79579,1245,1770,1717,2000,2207,2702,0,0,0,0,0,0,not default
8512,female,university,2,29,50000,0,8490,11512,11512,801,1303,950,0,0,0,11512,801,0,0,0,-1,-1,-1,not default
8513,female,high school,2,27,50000,6709,7298,8603,10319,9946,18019,1214,1000,260,0,2446,5559,0,0,2,2,2,1,not default
8514,male,university,1,40,180000,48345,50090,50840,49475,109884,126937,2000,2000,2000,2000,2000,5000,0,0,0,0,0,0,default
8515,female,university,1,50,20000,17287,16411,16820,14382,14913,10511,1000,1304,0,3000,0,4593,2,2,2,2,0,0,not default
8516,male,graduate school,2,29,410000,36540,38728,44016,44596,50359,53629,6029,4325,5029,3549,3015,3037,0,0,0,0,0,0,not default
8517,female,university,2,26,50000,30683,29902,29295,28725,28014,26701,1330,1280,1080,1049,1479,1749,0,0,0,0,0,0,not default
8518,female,university,1,47,270000,7500,7500,7500,7500,7500,8400,10466,7500,7500,7500,7500,7500,-2,-2,-2,-2,-2,-2,not default
8519,female,graduate school,2,24,80000,2793,8728,8708,84,4115,3940,0,2795,20,8708,84,4117,-1,0,-1,-1,-1,-1,not default
8520,female,high school,2,48,140000,54286,59199,58672,111948,132240,129915,56793,2000,2000,3000,3079,6000,0,0,0,0,0,0,not default
8521,male,university,1,29,60000,45222,44299,43342,40673,41642,40587,0,1800,1800,3348,0,2000,2,2,2,2,2,2,default
8522,female,graduate school,2,26,180000,130437,130929,128739,262878,173980,182218,4661,4915,4738,5000,5000,0,0,0,0,0,2,2,not default
8523,female,graduate school,2,34,320000,-1336,-1336,-1336,-528,-532,-532,0,0,0,0,4,0,-2,-2,-2,-2,-2,-2,not default
8524,male,university,2,26,40000,7117,7384,7146,6156,6407,5754,708,0,500,1100,0,900,2,2,2,2,3,3,default
8525,female,graduate school,2,32,380000,8348,11599,753,82860,44178,41727,1571,8348,11599,753,89999,44178,-1,-1,-1,-1,-1,-1,not default
8526,female,university,1,36,150000,141447,138592,139097,142876,132110,125938,5000,5300,2000,0,14500,9734,2,3,4,2,2,1,not default
8527,female,graduate school,2,25,110000,37770,42077,44084,53550,56267,63594,5000,2000,1487,1309,1499,2260,0,0,0,0,0,0,not default
8528,male,graduate school,2,26,110000,54013,52921,51834,50827,99100,109386,1950,1968,1917,1850,3686,2432,0,0,0,0,0,0,not default
8529,female,high school,1,26,100000,34155,35437,37735,40027,47099,45807,5660,2457,1597,3000,2500,5000,0,0,0,0,0,0,not default
8530,male,graduate school,2,35,240000,9372,23169,1151,1874,54684,11906,396,9372,23169,1151,1874,55167,-1,-1,-1,-1,-1,-1,not default
8531,female,university,2,25,50000,25923,26329,26691,27634,28481,30857,2000,1500,1500,915,1400,1800,0,0,0,0,0,0,not default
8532,male,graduate school,2,38,50000,20302,20556,21018,20997,27619,27148,0,406,1058,734,1323,1655,0,0,0,0,0,0,not default
8533,male,university,2,29,200000,86067,83964,82191,137983,186635,204212,2930,4400,3100,3000,4075,0,0,0,0,0,2,1,not default
8534,female,graduate school,2,27,80000,0,15037,29398,28798,980,100,0,0,1000,1000,28798,980,0,0,0,-1,-1,2,not default
8535,male,high school,2,49,40000,35665,33614,30124,30321,31226,34470,2000,3000,4000,3000,3000,2000,0,0,0,0,0,2,default
8536,male,university,1,29,250000,434,7146,746,-24,-24,-24,0,688,7200,770,0,0,-1,-1,-1,-2,-2,1,not default
8537,female,graduate school,2,24,230000,36313,25914,61534,68831,73712,69158,5000,15502,5542,5904,2214,8149,0,0,0,0,0,0,not default
8538,male,graduate school,2,26,30000,8949,8743,8529,8165,7247,7510,500,500,500,500,1200,0,0,0,0,0,2,2,default
8539,female,high school,2,52,80000,66578,65278,63939,65581,74736,73056,2458,2385,2369,2288,2333,2953,0,0,0,0,0,0,default
8540,female,graduate school,2,37,100000,0,0,780,10487,21711,1725,0,0,0,780,1000,21711,-2,-1,-1,0,-1,-1,not default
8541,female,university,1,28,230000,72049,5802,15609,18481,21092,54228,3000,70196,800,600,1139,1500,0,0,0,0,0,0,not default
8542,male,graduate school,1,50,490000,1602,1476,3398,4657,6836,17884,7531,1602,1476,3398,4657,6836,-1,-1,-1,-1,-1,-1,default
8543,female,high school,2,44,30000,25595,25257,23697,23078,25989,25039,0,900,2100,1003,1384,1700,2,0,0,0,0,2,default
8544,male,high school,1,49,40000,39360,35711,35970,34605,33885,34203,0,4632,1280,22703,1600,1880,0,0,0,0,0,0,not default
8545,male,graduate school,1,34,450000,0,0,0,0,1844,-9,0,0,0,0,0,1853,-2,-2,-2,-2,-2,-2,default
8546,female,university,2,23,50000,27697,27119,26547,26283,30271,48537,1000,1028,1000,1000,2000,2000,0,0,0,0,0,2,default
8547,male,university,2,26,20000,16523,19465,18553,18048,18691,19276,3000,0,1400,1000,0,0,2,3,2,3,4,1,not default
8548,female,high school,1,36,260000,77783,98487,103031,107853,113611,118028,3000,3000,4000,4000,3670,4379,0,0,0,0,0,0,not default
8549,male,university,2,28,10000,8356,1496,1766,370,100,200,0,7000,0,1496,370,0,2,2,-1,-1,2,-1,not default
8550,male,graduate school,2,38,500000,13692,11959,218,0,0,0,403,2000,11959,218,0,0,0,-1,-2,-2,-2,-2,not default
8551,female,university,1,25,70000,26234,27133,27265,32128,36021,34645,1007,1504,1005,1100,1804,2000,0,0,0,0,0,0,not default
8552,female,high school,1,28,100000,412,416,416,416,6896,3166,1223,412,416,416,416,6896,-2,-2,-2,-2,-2,-2,not default
8553,female,high school,1,30,50000,0,0,0,0,614,0,0,0,0,0,0,614,-2,-2,-2,-2,-2,-2,not default
8554,female,graduate school,2,33,400000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,default
8555,male,university,1,49,270000,58995,62123,62186,61145,61164,3197,5000,5000,6000,5000,4000,61164,0,0,0,0,-1,-1,not default
8556,male,graduate school,2,38,260000,14246,16466,3953,3953,3953,3953,5217,2000,16466,3953,3953,3953,0,-1,-1,-1,-1,0,not default
8557,female,university,2,32,250000,14063,14395,13877,43497,72972,72618,6000,5000,3000,4500,3000,3800,0,0,0,0,0,0,not default
8558,male,graduate school,2,30,360000,9526,2741,7474,19703,8017,28245,25462,9573,2752,37,19764,8057,-1,-1,0,-1,-1,-1,not default
8559,male,university,2,30,230000,78872,88909,98333,104587,112301,120113,3000,2872,3500,3328,4585,4501,0,0,0,0,0,0,not default
8560,male,university,2,27,110000,43324,42021,39359,38580,89446,84342,2000,2000,3306,1418,2000,6657,0,0,0,0,0,0,not default
8561,female,university,1,32,50000,316,316,316,316,282,316,316,316,316,316,350,282,-1,-1,-1,-1,-1,-1,not default
8562,male,graduate school,1,38,80000,38600,41887,45324,46307,41460,39410,1500,5000,2033,0,6000,3000,0,0,2,0,0,0,not default
8563,female,university,1,32,10000,8646,7779,7616,6733,5719,4695,200,1000,286,1000,1117,1103,0,0,0,0,0,0,default
8564,male,high school,1,52,20000,0,0,0,0,10000,10474,0,0,0,0,0,0,-2,-2,-2,2,2,1,default
8565,female,high school,2,33,200000,280,4679,16045,6682,165,834,0,280,4679,10000,6682,165,-1,-1,0,-1,-1,-1,not default
8566,male,graduate school,2,40,180000,89723,84996,83205,87173,92017,93648,2916,7500,3200,3100,3000,4246,0,0,0,0,0,0,not default
8567,female,high school,1,69,120000,106617,105307,102939,100937,108715,106775,3500,4515,4000,3658,3700,3810,0,0,0,0,0,0,not default
8568,female,university,1,47,80000,0,6810,6674,7930,7118,6612,1407,0,136,133,1000,1188,0,0,0,0,0,0,default
8569,male,graduate school,1,50,220000,5946,2378,3576,4028,6742,3484,1489,5946,2378,3576,4028,6758,-1,-1,-1,-1,-1,-1,not default
8570,male,graduate school,2,32,360000,0,8540,10357,20470,0,8140,3185,0,0,207,20470,0,0,0,0,-1,-1,-1,not default
8571,female,graduate school,2,25,50000,18405,18072,16472,16005,29449,49604,2000,618,2000,1000,1600,2000,0,0,0,0,0,0,not default
8572,female,university,1,31,150000,8923,1423,15206,19004,25252,23427,22720,9047,1457,5076,5070,5554,-1,-1,0,0,0,-1,not default
8573,female,university,2,27,70000,38353,37734,36808,69309,68482,67661,1524,1400,1520,1318,2908,3409,0,0,0,0,0,0,not default
8574,female,graduate school,2,25,20000,11594,12077,10402,10871,10186,8483,0,0,2000,0,1000,2000,3,2,2,2,2,1,default
8575,female,graduate school,1,32,150000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
8576,male,university,1,35,40000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
8577,male,graduate school,2,27,170000,157601,149603,146641,145050,138769,133149,1000,11000,5800,5801,13314,11936,2,2,2,2,0,0,not default
8578,female,university,1,37,220000,49507,46651,45680,46730,49164,48166,0,3800,1858,0,3900,2100,0,0,2,0,0,2,not default
8579,female,university,1,41,110000,0,0,0,108740,111169,108936,0,0,0,0,2375,3991,-2,-2,0,0,0,0,default
8580,female,university,1,47,30000,30103,29522,58287,30206,29254,29187,1000,1600,1207,1016,1457,1505,0,0,0,0,0,0,not default
8581,female,graduate school,2,32,230000,99961,63048,95445,180786,203432,195409,2670,50961,2520,21124,14105,21844,0,0,0,0,0,0,not default
8582,female,university,2,38,270000,6635,511,1833,4180,6060,11421,1026,6668,1,2,1000,2000,-2,-2,-2,-2,-2,-2,not default
8583,female,graduate school,2,47,360000,114052,258197,266246,283943,296936,291410,106000,5145,8500,0,7000,22913,0,0,2,3,2,2,default
8584,female,university,2,25,180000,181986,178391,176099,182533,172888,169225,6675,6600,6431,4,14010,7800,0,0,2,0,0,0,not default
8585,male,university,1,49,360000,-41,-41,-41,8209,0,0,0,0,0,0,8209,0,-2,-2,-1,-1,-2,1,default
8586,female,graduate school,2,47,280000,92215,130954,184270,215177,266163,269124,3510,3532,4403,6281,8196,11268,0,0,0,0,0,0,not default
8587,female,graduate school,1,63,170000,63422,61442,59560,58023,56462,54957,2651,3000,3000,2500,2500,3000,0,0,0,0,0,0,not default
8588,female,university,3,33,50000,19035,19633,20190,38897,47583,48111,1000,1200,1200,11700,1690,2100,0,0,0,0,0,0,not default
8589,male,high school,2,44,160000,650,475,325,650,325,325,625,650,475,0,650,325,-1,-1,0,-1,-1,-1,not default
8590,female,graduate school,2,42,160000,0,741,0,0,0,0,0,0,741,0,0,0,-2,-2,-2,-2,-2,-2,not default
8591,female,high school,2,24,160000,96623,96587,93971,153378,151486,153470,1000,3000,5000,4800,4600,10000,0,0,0,0,0,0,not default
8592,male,university,2,27,50000,9203,9003,9818,41247,49377,94297,659,500,500,505,1595,5600,0,0,0,0,2,2,not default
8593,female,university,2,49,50000,13520,14694,16362,17815,48599,50986,384,524,514,532,1512,1325,0,0,0,0,0,2,not default
8594,female,university,2,30,180000,1000,4645,975,0,102650,101281,0,1000,4645,975,0,4650,-1,-1,-1,0,0,0,not default
8595,female,graduate school,2,38,210000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
8596,male,university,1,40,20000,0,0,0,0,20650,21447,0,0,0,0,0,0,-2,-2,-2,2,2,1,not default
8597,male,graduate school,2,29,570000,5138,5150,5150,5100,-1031,4119,81438,5138,5150,5200,11500,0,-1,-1,-1,-1,-1,-1,not default
8598,male,graduate school,2,27,280000,2037,1247,5727,1485,-7,5521,26920,2037,1247,5727,1492,7,-1,-1,-1,-1,-1,-1,not default
8599,female,university,2,24,50000,14393,14691,17575,40307,42983,49469,5000,2000,5000,1000,2199,0,0,0,0,0,2,1,default
8600,female,university,2,46,20000,38900,19249,19712,19205,16071,16626,1100,1100,727,1000,3473,0,0,0,2,2,2,1,default
8601,male,graduate school,2,28,30000,20271,13558,11820,11311,11792,9262,0,7000,2100,1000,0,3000,0,0,0,2,-1,-1,default
8602,male,graduate school,1,37,240000,214320,221981,217991,220804,227463,222976,7509,7273,7505,7176,7762,8494,0,0,0,0,0,0,not default
8603,male,graduate school,2,47,30000,29760,30399,28809,27774,26719,25690,1200,0,2200,1500,1500,1445,2,2,0,0,0,2,not default
8604,female,university,1,47,90000,29452,29177,28747,28847,28718,28477,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,not default
8605,male,university,2,25,60000,26416,27493,26039,25227,47311,56598,1500,1500,2000,1500,2000,3000,0,0,0,0,0,0,not default
8606,male,graduate school,2,34,500000,4189,11248,40501,63994,147289,203729,0,4200,10000,10000,8078,10043,-1,0,0,0,0,0,not default
8607,male,university,1,34,70000,36989,34764,33809,68863,68904,66977,2000,3000,1500,1210,2627,3013,0,0,0,0,0,0,default
8608,male,university,2,27,140000,34724,35443,33142,32485,33315,30121,1500,0,3000,1500,0,4000,2,0,0,2,2,2,not default
8609,male,university,2,32,30000,23110,29382,29879,31002,31091,31895,0,1000,996,0,2300,0,0,0,2,2,2,3,not default
8610,male,university,1,55,140000,87425,85692,83544,82810,81049,78314,8000,3158,3500,3000,4000,4000,0,0,0,0,0,0,not default
8611,male,graduate school,2,44,290000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
8612,female,graduate school,1,36,360000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
8613,male,graduate school,2,34,30000,30496,31714,31157,29698,29302,29160,15912,0,1759,2501,1466,1494,2,2,0,0,0,0,not default
8614,female,university,1,33,170000,1243,0,1000,400,0,1870,6912,1243,0,1000,400,0,-1,-1,-1,-1,-1,-1,not default
8615,male,graduate school,1,46,290000,3207,694,5055,700,4146,2052,0,3207,694,5077,700,4146,-2,-1,-1,-2,-1,-1,not default
8616,female,university,2,53,270000,42418,-19205,-4,-3764,-1524,716,5002,64446,2,6002,2,2,-1,-2,-2,-2,1,1,not default
8617,male,graduate school,1,49,200000,0,2842,1311,216,528,1377,623,0,2842,1311,216,792,-1,-1,-1,-1,-1,-1,default
8618,female,graduate school,1,45,140000,150,632,316,316,316,316,316,150,632,316,316,316,-1,-1,-1,-1,-1,-1,not default
8619,female,high school,2,39,230000,4634,1876,2848,1876,1876,1876,1876,4634,1876,2848,1876,1876,-2,-2,-2,-2,-2,-2,not default
8620,male,graduate school,2,26,80000,19925,19551,28809,28221,51936,76867,50000,800,3000,859,1300,1600,0,0,0,0,0,0,not default
8621,male,university,2,36,350000,191037,210897,211309,234254,232382,230738,7011,7361,8011,7511,9015,9503,0,0,0,0,0,0,not default
8622,female,high school,1,42,50000,30664,30671,30405,41150,50646,51123,2778,1264,1271,1100,2190,2089,0,0,0,0,0,0,not default
8623,male,high school,2,32,50000,29739,29311,29742,49660,50893,50114,1179,1211,1060,1044,1875,1991,0,0,0,0,0,0,not default
8624,female,university,1,45,390000,0,0,0,0,0,0,3971,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
8625,female,graduate school,2,25,80000,0,0,0,300,0,0,500,0,0,0,300,0,-2,-2,-1,-1,-2,1,not default
8626,female,university,2,23,150000,151252,153844,152753,151996,10053,27414,5002,5300,5019,4700,156292,10096,0,0,0,-1,-1,-2,not default
8627,male,university,2,23,10000,9872,9684,9694,10200,9219,8109,0,500,1000,500,1300,1400,2,0,0,0,0,0,not default
8628,male,university,2,31,100000,76815,76446,80051,90519,92311,97669,2697,2800,3000,3000,3631,0,0,0,0,0,2,1,not default
8629,female,graduate school,1,41,310000,55045,46219,76635,104341,39593,48815,10000,10000,3000,7129,76651,2063,0,0,0,0,0,0,not default
8630,male,graduate school,2,31,80000,10221,4804,7764,24099,30122,46516,500,6018,303,229,5048,15029,0,0,0,0,0,0,not default
8631,male,graduate school,1,46,40000,0,780,1170,0,390,780,0,0,0,1170,0,0,0,0,-1,2,2,-1,default
8632,female,university,1,43,180000,0,6017,0,0,2062,1091,0,0,6017,0,0,2062,-2,-2,-2,-2,-2,-2,not default
8633,male,graduate school,1,60,100000,2712,2599,3860,5790,8031,8311,0,2712,0,0,0,0,-1,0,0,2,3,1,not default
8634,female,graduate school,1,31,140000,418,4051,2319,-6,421,1094,969,419,4063,2325,0,422,-2,-2,-2,-2,-2,-2,not default
8635,male,university,2,27,230000,546,396,396,396,396,396,396,546,396,396,396,396,-1,-1,-1,-1,-1,-1,not default
8636,male,university,2,24,20000,17525,14289,14666,12291,10783,10248,0,3500,0,2900,2000,1000,2,2,0,0,2,1,default
8637,female,high school,1,55,90000,22486,22829,24561,24310,23715,23379,987,804,816,1028,1387,1402,0,0,0,0,0,0,not default
8638,male,graduate school,2,29,50000,21230,20572,19894,48916,47714,16303,2000,1000,1000,1000,2000,32000,0,0,0,0,0,0,not default
8639,female,university,1,39,50000,23989,22871,22541,21772,23755,22187,3000,1500,1500,5000,2049,5000,0,0,0,0,0,0,not default
8640,male,university,1,51,50000,28728,30061,29441,49366,49161,46926,1023,1029,1064,1024,1500,3000,0,0,0,0,0,0,not default
8641,male,graduate school,2,28,200000,3262,303,11938,14714,1183,13383,3635,3262,303,0,14714,1183,-1,-1,0,-1,-1,-1,not default
8642,male,graduate school,2,23,20000,19816,19661,19160,19753,20380,18679,198,558,788,0,0,2300,0,0,2,3,2,1,default
8643,male,graduate school,2,46,400000,10799,414,7272,13582,9280,10965,21202,10802,417,7,7276,9283,-1,-1,0,0,-1,0,not default
8644,male,university,2,38,20000,19859,19325,18895,17922,19646,17760,1000,1000,1500,2000,2000,6500,0,0,0,0,0,0,not default
8645,male,university,2,36,40000,0,0,0,0,0,0,0,0,10000,0,0,0,-2,-2,-2,-2,-2,1,not default
8646,male,graduate school,2,28,240000,141187,138214,140983,138197,137044,134245,5200,5272,5017,4982,4916,4967,0,0,0,0,0,0,not default
8647,female,graduate school,1,37,240000,9346,10715,24582,28395,17181,5024,25895,2978,21,12069,28473,17267,0,0,0,-1,-1,-1,not default
8648,female,university,2,38,80000,46660,45722,49506,51770,62162,70590,2000,1700,1700,2015,2000,2200,0,0,0,0,0,0,not default
8649,male,graduate school,1,37,180000,127458,125661,123916,122498,121125,121744,4571,5040,4711,4405,4397,4406,0,0,0,0,0,0,not default
8650,female,graduate school,2,22,20000,7228,6995,7256,6362,5249,3978,300,350,0,1000,1362,1500,0,2,0,0,0,0,default
8651,male,high school,1,44,20000,19849,19697,19684,19690,19106,18467,988,855,701,686,1302,1328,0,0,0,0,0,0,not default
8652,male,university,1,41,20000,0,1448,0,2889,0,9598,0,0,1448,0,2889,0,-1,-1,-1,-1,-1,-1,not default
8653,female,university,2,25,360000,2014,4632,991,6385,4075,947,5,2014,4641,997,6401,4098,-1,-1,-1,-1,-1,-1,not default
8654,female,university,1,31,130000,5965,8015,15306,5878,10862,6279,4200,5222,727,14593,5172,11054,0,0,0,0,-1,-1,not default
8655,male,graduate school,1,47,30000,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,8,8,8,8,2,2,default
8656,female,university,1,33,110000,11714,9981,9986,9893,5289,7801,0,2000,400,500,5000,0,0,0,0,0,2,1,not default
8657,male,high school,2,46,30000,28961,30000,30321,31397,32351,33134,0,5000,0,0,0,0,0,2,3,4,5,6,not default
8658,female,graduate school,2,26,80000,23796,29929,28790,25443,28563,29322,2000,1000,1500,4000,3000,3000,0,0,0,0,0,0,default
8659,female,high school,1,31,350000,0,107130,99735,102601,214075,144718,0,0,107130,99735,62635,100012,-1,-1,-1,0,0,0,not default
8660,female,university,2,24,50000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
8661,female,graduate school,2,23,110000,62475,68385,71276,78997,85064,83914,2310,2500,3000,2000,3300,4022,0,0,0,0,0,0,not default
8662,female,university,2,32,180000,15868,467,837,288,357,134,351,15868,467,837,288,357,-2,-2,-2,-2,-1,-1,not default
8663,female,other,1,32,440000,221866,276902,287892,287932,324109,324469,131400,12000,11200,11098,10300,11129,0,0,0,0,0,0,not default
8664,female,graduate school,2,42,100000,100500,98894,96837,94925,93027,91141,0,2500,2854,2718,2688,2635,0,0,0,0,0,0,not default
8665,male,graduate school,2,33,200000,40647,9500,1973,14771,7616,5448,589,40647,9500,1973,14771,7616,-2,-2,-2,-2,-2,-2,not default
8666,female,university,1,39,140000,125487,122457,119845,138303,134654,131764,4500,5228,4700,5000,7500,6500,0,0,0,0,0,0,not default
8667,female,graduate school,2,31,230000,1580,1850,3555,3480,227,-22,520,1580,0,3555,3480,249,-1,0,-1,-1,-1,1,default
8668,female,university,2,44,10000,18663,18301,17585,780,390,390,692,667,1000,17585,780,390,0,0,-1,-2,-2,-2,default
8669,female,university,2,35,280000,128473,138467,136894,154940,171714,184050,50012,5005,5057,5000,6107,7088,0,0,0,0,0,0,not default
8670,male,university,1,42,310000,3069,2538,3057,1858,4206,2647,6591,3069,2538,3057,1858,4206,-2,-2,-2,-2,-2,-2,default
8671,female,other,1,33,260000,106990,104418,105188,107139,2740,3140,5000,4696,4000,4000,107139,2740,0,0,0,-1,-1,0,not default
8672,male,graduate school,2,29,270000,538,20207,-61,-61,197,38840,29995,538,20268,0,0,197,-1,-1,-2,-1,-1,-1,not default
8673,male,graduate school,2,23,50000,19354,13793,18727,33404,35213,48954,1000,6000,1000,1000,4005,2000,0,0,0,0,0,0,not default
8674,male,graduate school,1,46,450000,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,-1,-1,-1,-1,-1,-1,not default
8675,male,high school,1,54,190000,2907,10876,40733,-1548,-1072,-596,3000,2907,2000,43500,0,0,-1,0,-1,-2,-2,1,not default
8676,female,graduate school,2,28,290000,28502,29822,29620,32034,34927,42601,901,2000,1200,5000,6010,5000,0,0,0,0,0,0,not default
8677,female,graduate school,1,60,480000,28699,24334,67030,96977,7233,13406,28966,15819,241,4,96989,13736,0,0,0,-1,-1,-1,not default
8678,male,other,1,34,360000,53733,41147,19036,11704,9428,30447,2227,54981,22207,20036,11767,10052,-1,0,-1,-1,-1,0,not default
8679,male,graduate school,2,32,380000,10551,23397,11773,2816,24899,326,43302,10551,23397,11773,2816,24899,-1,-1,-1,-1,-1,-1,not default
8680,male,high school,2,24,20000,12865,12221,11561,11448,10439,9249,1000,1000,1000,600,1487,1500,0,0,0,0,0,0,default
8681,male,high school,1,52,50000,25189,36087,38801,39490,39548,39429,590,949,1174,1148,1770,1781,0,0,0,0,0,0,not default
8682,male,graduate school,1,34,450000,391559,429235,451559,455701,460261,451113,16000,14108,16300,17000,20000,18500,0,0,0,0,0,0,not default
8683,female,university,2,24,50000,23569,22458,26946,35917,48767,48283,3500,1486,817,1036,0,1700,0,0,0,2,2,2,default
8684,male,graduate school,1,34,380000,85301,82793,81087,100599,97979,106065,5240,3569,2696,2592,4074,3385,0,0,0,0,0,0,not default
8685,female,high school,2,34,150000,386,1350,330,264,1576,1464,1259,386,1350,330,264,1586,-1,-2,-2,-2,-2,-2,not default
8686,female,university,2,23,50000,9648,9654,10078,17626,20771,21249,500,300,500,500,1300,1649,0,0,0,0,0,0,not default
8687,female,graduate school,2,33,150000,-286,-286,-286,-286,-286,-286,750,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
8688,female,high school,1,43,50000,4740,8904,13038,17070,39607,39177,4000,500,600,3500,1500,2000,0,0,0,0,0,0,not default
8689,male,university,2,24,50000,23570,29348,32945,36086,38561,34695,17,2015,1019,1019,3011,6013,0,0,0,0,0,0,not default
8690,female,graduate school,2,26,230000,0,0,0,0,0,3741,1010,0,0,0,0,0,-2,-2,-2,-2,-1,-1,default
8691,female,graduate school,2,32,310000,0,0,0,6500,-65,13560,0,0,0,0,6565,0,-2,-2,-1,-1,-1,-1,not default
8692,female,university,1,34,310000,2318,2371,2710,11263,4073,3595,4352,2318,2371,2710,11321,4073,-1,-1,-1,-1,-1,-1,not default
8693,female,university,1,50,50000,48145,47765,48853,49388,48999,50658,934,2202,1520,1628,1746,2357,0,0,0,0,0,0,not default
8694,male,university,2,32,240000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
8695,female,graduate school,2,26,400000,1697,9539,5019,1663,937,1140,12856,1703,9579,5039,1667,940,-1,-1,-1,-1,-1,-1,not default
8696,female,university,2,47,90000,0,0,0,0,11691,17247,0,0,0,0,0,1000,-2,-2,-2,0,0,0,not default
8697,male,high school,1,43,50000,13793,13405,12650,12030,12923,10413,1500,1000,1500,1500,0,3000,0,0,0,2,2,2,not default
8698,female,graduate school,2,30,250000,152470,149564,153122,153535,153647,156155,6000,5665,5376,5443,6809,5560,0,0,0,0,0,0,not default
8699,male,graduate school,1,44,200000,36436,38896,51802,49492,65515,66689,1064,1537,15,4185,1706,2362,0,2,0,0,0,0,not default
8700,male,high school,1,37,10000,0,0,5275,7308,7512,14498,0,0,0,375,1120,2248,-2,0,0,0,0,0,not default
8701,male,university,1,36,310000,64916,50570,44598,39572,33587,32782,5000,20645,15766,10819,10773,11406,0,0,0,0,0,0,not default
8702,female,high school,2,46,340000,1612,8500,35028,35028,1321,0,0,1612,0,0,35028,1321,-1,0,0,-1,-1,1,default
8703,male,university,1,34,220000,130478,131319,132066,134420,137465,144544,10000,5000,5000,5000,4700,6500,0,0,0,0,0,0,not default
8704,male,graduate school,2,36,500000,83535,122439,146443,117130,150824,151630,65678,20803,12550,40561,10000,12074,0,0,0,0,0,0,not default
8705,female,university,1,41,80000,72869,117568,59021,56893,53681,52564,3000,30000,2215,3069,4120,1963,0,0,0,0,0,0,not default
8706,male,graduate school,2,36,200000,38505,36087,35797,113809,111541,103457,0,3000,1300,1412,5000,10000,0,0,0,0,0,0,not default
8707,female,university,1,36,270000,15081,143874,12383,30704,65094,72364,112791,20081,144570,12383,30773,65140,-2,-2,-2,-2,-2,-2,not default
8708,female,university,2,29,100000,30073,29260,33365,35304,43303,42440,4000,1300,1500,1500,2000,1599,0,0,0,0,0,2,default
8709,male,university,2,29,100000,81931,102069,96287,98768,101249,99679,18895,0,7629,0,0,4000,2,2,2,3,3,1,default
8710,male,graduate school,2,25,50000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
8711,female,high school,2,33,260000,3044,3044,3562,650,926,0,0,0,0,3562,650,926,0,0,-1,-1,-1,1,not default
8712,female,university,2,24,100000,811,396,5476,1967,0,396,817,811,396,7142,1967,0,-1,-1,-1,-1,-1,-1,not default
8713,female,high school,2,31,240000,0,0,0,0,0,298,0,0,0,0,0,0,-2,-2,-2,-2,-1,-1,not default
8714,female,high school,1,28,50000,20367,19848,19310,18923,18528,14484,1000,1000,1000,1000,1000,4300,0,0,0,2,0,0,default
8715,male,university,2,54,50000,16271,0,0,67450,81665,72374,2000,16271,0,0,2650,15000,-1,-2,0,0,0,0,not default
8716,female,graduate school,2,44,200000,3277,32778,33435,33275,34800,34606,29928,3277,3000,3435,2000,2100,-1,0,0,0,0,0,not default
8717,male,university,1,36,150000,109479,105240,102903,92441,88931,86333,50000,6000,4000,12000,5000,4000,0,0,0,0,0,2,default
